id;statement;index;question_id
f9a845bd-3e13-48aa-a01c-2655789720df;La luminosité;1;ea641920-1492-4cfd-b8ef-e0f58d5d9dc2
18aced7a-84ba-4179-a7af-c1e86ba069a2;Le temps;2;ea641920-1492-4cfd-b8ef-e0f58d5d9dc2
bc1fd616-fa22-4de7-84b5-657414ad54ee;La distance;3;ea641920-1492-4cfd-b8ef-e0f58d5d9dc2
38aa6ead-d352-4616-a82b-85cbdbda6c9d;Le poids;4;ea641920-1492-4cfd-b8ef-e0f58d5d9dc2
0c872e54-f570-42eb-9e7e-c75f219d7d39;Chlorure de sodium;1;598d3310-fa70-4409-89b9-c48b7601774f
8a50db4f-603c-4247-b1e1-1e5532ffabb6;Uranium;2;598d3310-fa70-4409-89b9-c48b7601774f
b6a6d662-6b5e-4a66-a369-9faa50ccb2dd;Azote;3;598d3310-fa70-4409-89b9-c48b7601774f
9a9fffe2-03af-4ea4-9920-d0b5bbf76397;Dioxide de carbone;4;598d3310-fa70-4409-89b9-c48b7601774f
b15b3f58-28fc-4f4b-b215-dfc399cda857;Astrologie;1;bcd7a793-9ca3-4a9d-b17d-3398b2eb0632
ffc4eb20-2f64-4e49-9d1f-d711e3d6a565;Alchimie;2;bcd7a793-9ca3-4a9d-b17d-3398b2eb0632
f1ab39a0-b5d7-421a-b94a-53e4e6e47f04;Astronomie;3;bcd7a793-9ca3-4a9d-b17d-3398b2eb0632
cbc3416b-de83-42cd-8405-92ddf9e88c77;Météorologie;4;bcd7a793-9ca3-4a9d-b17d-3398b2eb0632
