id;score;started;ended;quizz_id;user_id
f34f26a1-e0ce-4a71-9043-6858e4b387d6;8834;2024-01-12T13:53:32;2024-01-12T18:45:25;7bf9fa79-5b46-4bb0-bb38-298bf9bd036b;1
80adba88-c349-4e92-b719-a60b4dd3987b;22914;2024-01-12T05:28:17;2024-01-12T06:32:51;0dcef665-5080-48b6-97d1-2084adbea6da;2
ea9f45e8-5894-43ab-83ad-b4471b113d2c;17779;2024-01-12T04:19:06;2024-01-11T20:51:40;d75356be-f381-4139-9a26-9888d2a65a3e;1
983ff4b5-798a-4335-98ab-5fde7b2fe54c;27368;2024-01-12T06:39:20;2024-01-12T17:57:41;b1c555bc-ca58-471f-bba9-78cfd70a5d7a;1
46d946c4-cf4c-4326-9722-2c5e824a7638;28450;2024-01-12T06:50:13;2024-01-11T20:40:09;b47eb570-f707-408c-a72a-2b0f6a3ebcf2;1
f1ab39a0-b5d7-421a-b94a-53e4e6e47f04;22692;2024-01-12T10:45:43;2024-01-12T03:15:33;a80f2877-3dba-4f70-8713-efc9b58123ec;1
e6e20999-dc7f-4628-a5e7-245bdd002a89;21430;2024-01-12T11:58:51;2024-01-12T13:16:07;ab61d87b-4069-4e02-b122-c3cf2afb4018;2
cbc3416b-de83-42cd-8405-92ddf9e88c77;7497;2024-01-12T05:38:24;2024-01-11T19:22:56;4cdffb12-81b4-4e2a-8873-7a965bedca8d;2
2ab04d45-652e-477e-90ff-2047fa230d04;13710;2024-01-11T20:23:35;2024-01-12T12:29:41;22defeb2-a226-4929-a569-b9229e672eeb;1
f810ea73-4376-424e-bf03-736eb4c19eda;8387;2024-01-12T13:16:50;2024-01-12T16:13:08;4735436d-1065-403b-9b34-5e05b1cde5fa;2
