id;started;ended;question_id;option_id
529f0916-bd52-422e-8ae0-f8fcb698321e;2024-01-11T21:59:58;2024-01-12T12:15:27;ea641920-1492-4cfd-b8ef-e0f58d5d9dc2;f9a845bd-3e13-48aa-a01c-2655789720df
3894e19e-ae62-4cc4-ae1e-56abe359f9a2;2024-01-12T01:51:42;2024-01-12T09:45:35;598d3310-fa70-4409-89b9-c48b7601774f;18aced7a-84ba-4179-a7af-c1e86ba069a2
ca461a57-c7a3-4279-9bdb-e341011b493b;2024-01-12T06:26:33;2024-01-12T18:56:10;bcd7a793-9ca3-4a9d-b17d-3398b2eb0632;bc1fd616-fa22-4de7-84b5-657414ad54ee
3d4d7e9a-f628-4653-8616-4f79dd629716;2024-01-12T15:00:15;2024-01-12T12:46:25;18e34482-c212-471f-afc4-a379df6d2a76;38aa6ead-d352-4616-a82b-85cbdbda6c9d
9637d2b2-b5e4-4237-bbe7-d8192c81d7fe;2024-01-12T09:55:44;2024-01-12T12:08:40;da5f341e-4192-45a7-b78d-db632c9da839;0c872e54-f570-42eb-9e7e-c75f219d7d39
9804a433-3a84-4974-ba4c-6e19181a809b;2024-01-11T22:28:08;2024-01-12T03:10:52;b5c3205c-8f1a-4b1d-8cf4-6c666b2a696e;8a50db4f-603c-4247-b1e1-1e5532ffabb6
771acac7-46cb-4ca8-95e0-f11e6fc23699;2024-01-12T16:47:24;2024-01-12T03:46:50;04dbc084-2ff5-4b6b-a85b-e9b451c050b1;b6a6d662-6b5e-4a66-a369-9faa50ccb2dd
f602f165-b0e3-4b48-91eb-c37dbcee0b75;2024-01-12T15:33:34;2024-01-12T16:22:10;f93b1eac-c3ad-482d-be17-d4e22032e697;9a9fffe2-03af-4ea4-9920-d0b5bbf76397
9e367c5a-c1fb-4ca6-b05d-9e141cf21c00;2024-01-12T09:06:04;2024-01-12T06:59:06;912bd3f8-1854-466c-a48a-b00298ce09d1;b15b3f58-28fc-4f4b-b215-dfc399cda857
91c51609-e47b-4d9b-acce-3b74dc6f9e2c;2024-01-11T21:35:14;2024-01-11T22:01:17;a7aaddd5-4777-40b7-84aa-f4844d3df566;ffc4eb20-2f64-4e49-9d1f-d711e3d6a565
